Source Target Confidence
0 2410 0.527000
0 2780 0.527000
0 3578 0.527000
1 2410 0.452000
1 2780 0.452000
1 3578 0.452000
2 3325 0.551000
3 894 0.200000
3 2410 0.515000
3 2780 0.515000
3 3578 0.515000
3 4427 0.200000
4 1597 0.200000
4 3217 0.200000
4 3374 0.611000
4 4282 0.200000
4 5341 0.200000
4 5951 0.200000
5 2410 0.455000
5 2780 0.455000
5 3578 0.455000
6 11 0.509000
6 56 0.551000
6 76 0.503000
6 159 0.503000
6 172 0.509000
6 173 0.503000
6 207 0.506000
6 254 0.506000
6 354 0.524000
6 383 0.503000
6 399 0.503000
6 404 0.509000
6 427 0.506000
6 441 0.548000
6 652 0.509000
6 654 0.524000
6 661 0.503000
6 669 0.569000
6 671 0.506000
6 679 0.530000
6 681 0.440000
6 692 0.506000
6 694 0.503000
6 708 0.506000
6 778 0.506000
6 847 0.503000
6 915 0.509000
6 923 0.515000
6 1027 0.515000
6 1031 0.503000
6 1047 0.503000
6 1050 0.587000
6 1052 0.524000
6 1080 0.506000
6 1095 0.521000
6 1136 0.506000
6 1150 0.512000
6 1169 0.572000
6 1181 0.569000
6 1196 0.506000
6 1206 0.512000
6 1220 0.506000
6 1237 0.506000
6 1249 0.509000
6 1250 0.506000
6 1278 0.566000
6 1314 0.557000
6 1344 0.515000
6 1442 0.506000
6 1585 0.506000
6 1603 0.518000
6 1609 0.512000
6 1693 0.506000
6 1728 0.506000
6 1881 0.530000
6 1916 0.506000
6 1931 0.518000
6 1946 0.473000
6 1984 0.440000
6 1987 0.578000
6 2011 0.509000
6 2028 0.506000
6 2058 0.503000
6 2086 0.503000
6 2093 0.503000
6 2141 0.521000
6 2212 0.515000
6 2302 0.521000
6 2329 0.503000
6 2350 0.503000
6 2351 0.503000
6 2467 0.524000
6 2522 0.524000
6 2528 0.524000
6 2532 0.446000
6 2562 0.506000
6 2583 0.551000
6 2591 0.512000
6 2601 0.503000
6 2635 0.512000
6 2661 0.521000
6 2826 0.506000
6 2849 0.506000
6 2899 0.554000
6 2933 0.515000
6 2998 0.509000
6 3028 0.449000
6 3066 0.548000
6 3135 0.509000
6 3191 0.506000
6 3417 0.503000
6 3481 0.440000
6 3483 0.440000
6 3509 0.512000
6 3585 0.503000
6 3617 0.506000
6 3683 0.503000
6 3858 0.554000
6 3859 0.443000
6 3860 0.440000
6 3872 0.587000
6 3899 0.509000
6 3905 0.581000
6 4004 0.443000
6 4022 0.506000
6 4035 0.503000
6 4159 0.506000
6 4174 0.440000
6 4175 0.443000
6 4216 0.521000
6 4229 0.440000
6 4356 0.503000
6 4434 0.503000
6 4442 0.509000
6 4493 0.440000
6 4494 0.443000
6 4649 0.533000
6 4655 0.509000
6 4658 0.518000
6 4664 0.503000
6 4735 0.509000
6 4744 0.440000
6 4756 0.503000
6 4774 0.512000
6 4779 0.506000
6 4830 0.506000
6 4852 0.503000
6 4870 0.515000
6 4875 0.506000
6 4955 0.506000
6 5033 0.530000
6 5058 0.506000
6 5118 0.587000
6 5124 0.503000
6 5138 0.503000
6 5146 0.503000
6 5147 0.515000
6 5189 0.506000
6 5203 0.506000
6 5218 0.446000
6 5312 0.506000
6 5328 0.503000
6 5368 0.506000
6 5383 0.512000
6 5432 0.530000
6 5448 0.506000
6 5480 0.527000
6 5487 0.509000
6 5511 0.509000
6 5594 0.506000
6 5651 0.512000
6 5689 0.509000
6 5708 0.509000
6 5726 0.527000
6 5817 0.515000
6 5857 0.509000
6 5880 0.506000
6 5889 0.557000
6 5946 0.539000
6 6042 0.443000
6 6193 0.506000
6 6261 0.515000
6 6362 0.521000
7 9 0.200000
7 11 0.509000
7 56 0.551000
7 73 0.500000
7 76 0.503000
7 148 0.491000
7 159 0.503000
7 172 0.509000
7 173 0.503000
7 187 0.500000
7 195 0.500000
7 207 0.506000
7 254 0.506000
7 347 0.500000
7 354 0.524000
7 383 0.503000
7 399 0.503000
7 404 0.509000
7 408 0.620000
7 418 0.605000
7 419 0.482000
